supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
"Q
COLLECTION",SQ Celsius Ltd.,1,1,Beraiderchala,Keowa,"Maona, Sreepur",Gazipur,Bangladesh,Clothing,3176,36%,64%,0%,Yes,"Main Production
Site",[blank]
"Epic Designs
Ltd FOB USD","Epic Garments
manufacturing Co Ltd",1,1,Plot #11-22,"26-34, Adamjee
EPZ",Shiddhirgonj,Narayanganj,Bangladesh,Clothing,6968,70%,30%,0%,Yes,"Main Production
Site",[blank]
"Q
COLLECTION",SQ Birichina Ltd.,1,1,Jamirdia,"Post Stead
StorePS Valuka",[blank],Mymensingh,Bangladesh,Clothing,6451,71%,29%,0%,Yes,"Main Production
Site",[blank]
[blank],Regency Three Ltd.,1,1,Plot # 13 – 18,Sector – 8CEPZ,[blank],Chittagong,Bangladesh,Clothing,3004,89%,11%,0%,Yes,"Main Production
Site",[blank]
[blank],"South East Textile (Pvt)
Ltd",1,1,Gorai,Mirzapur,[blank],Tangail,Bangladesh,Clothing,3270,47%,53%,0%,Yes,"Main Production
Site",[blank]
[blank],"Zhejiang ShunPu Arts &
Crafts Co.Ltd.,",1,1,"Dongpu
Industrial Zone",Ruoheng Town,[blank],Wenling,China,Clothing,221,71%,29%,21%,Yes,"Main Production
Site",Qingdao
[blank],"Zibo Addisen Maternal and Infants Products
Corp.",1,1,No 1388 Sichou Road,Zhoucun,[blank],Zibo,China,Clothing,171,82%,18%,9%,Yes,Main Production Site,Qingdao
[blank],Choice Clothing - Plot 357,1,1,Plot No 357II,"Udygog Vihar
Phase",Gurgaon,Haryana,India,Clothing,40,8%,93%,0%,Yes,"Main Production
Site",[blank]
[blank],Choice Clothing - Plot 358,1,1,"Plot 358 Udyog
Vihar Phase II",Gurgaon,[blank],Haryana,India,Clothing,67,0%,100%,0%,Yes,"Main Production
Site",[blank]
[blank],Choice Clothing - Plot 332,1,1,332 Udyog Vihar,"Phase II
Gurgaon",[blank],Haryana,India,Clothing,52,17%,83%,0%,Yes,"Main Production
Site",[blank]
[blank],Talisman Ltd,1,1,"Plot # 7-10 & 13-
16","DEPZ Extension
AreaGanakbari",Savar,Dhaka,Bangladesh,Clothing,3579,57%,43%,0%,Yes,"Main Production
Site",[blank]
[blank],Shin Shin Apparels Ltd.,1,1,"Dag # RS228 JL #
73 Gorat","East
Norshinghapur","Zirabo, Savar",Dhaka,Bangladesh,Clothing,1175,70%,30%,0%,Yes,"Main Production
Site",[blank]
[blank],Hop Yick Ltd (Plots 3-7),1,1,SFB # 3-7,Dhaka Export Processing Zone,"Ganakbari, Savar",Dhaka,Bangladesh,Clothing,10224,83%,17%,0%,Yes,Main Production Site,[blank]
