sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
Dongguan Unistar Industrial Ltd.,25.03082747,118.8713243,"No.8,Shang web qian 1st ShiyongRoad,",[blank],"Industrial Zone, Dongguan China",China,General Merchandise,Main production Site,56%,44%,Yes,25
"TIANJIN GANG HONG CARPET CO., LTD",25.44114808,118.4675866,HOUXIANG,CUIHUANGKOU TOWN,TIANJIN,China,General Merchandise,Main production Site,46%,54%,Yes,37
"Kangteng Sports Goods (Shenzhen) Co., Ltd. Tongxin South Road 6th, Sifangpu Community, Pingdi StShenzhen China",24.60629194,118.1565048,[blank],[blank],[blank],China,General Merchandise,Main production Site,44%,56%,Yes,143
FACTORY,24.10575997,117.904564,"NO.8,","2ND GU XIA INDUSTRIAL ROAD,DONGGUAN CITY,China",[blank],China,General Merchandise,Main production Site,48%,52%,Yes,44
Fujian Kangjia Furniture,25.44160954,118.9593267,Luzhong Village,Lefeng Town,Quanzhou,China,General Merchandise,Main production Site,47%,53%,Yes,201
"Zhongshan Camry Electronic Co., Ltd.",25.00878591,118.0124983,Baishawan Industrial ParkQiwan Road,[blank],Zhongshan,China,General Merchandise,Main production Site,37%,63%,Yes,656
Hero Cycles Ltd,[blank],[blank],HERO NAGAR,G.T. ROAD,LUDHIANA,India,General Merchandise,Main production Site,100%,0%,Yes,311
NINGBO HONGXU HEATING CO LTD,25.07921667,118.4678397,"No.38, Longquan Road",Henghe Town,Cixi,China,General Merchandise,Main production Site,56%,44%,Yes,63
Saigon Furniture Co Ltd,[blank],[blank],AH PHU VILLAGE,THUAN AN DISTRICT,THUAN AN DISTRICTVietnam GM,Vietnam,General Merchandise,Main production Site,59%,41%,Yes,61
Airsprung beds,[blank],[blank],Canal Road Industrial Estate,[blank],Trowbridge,United Kingdom,General Merchandise,Main production Site,88%,13%,No,168
"ARDA (ZHEJIANG) ELECTRIC CO., LTD",24.99492867,119.237738,No.166 Yingui Northern RoChengxi New Industry Area Yongkang,[blank],[blank],China,General Merchandise,Main production Site,60%,40%,Yes,871
LTD,25.01353957,117.7503003,3RD floor Building 1,No46 Chang'an North Rd,Zhongshan,China,General Merchandise,Main production Site,63%,38%,Yes,112
Qunli Household Articles Co Ltd,25.64234899,118.2745616,ZHEHU VILLAGE,DAJING TOWN,YUEQING,China,General Merchandise,Main production Site,39%,61%,Yes,54
Ltd,24.02483263,118.9834741,Qifeng Industrial Park Nankeng Precinct,[blank],Dongguan,China,General Merchandise,Main production Site,44%,56%,Yes,66
"XinCheng Wooden Products Co.,Ltd",24.51309029,119.0261895,No. 1,Beiping Street,Hailin,China,General Merchandise,Main production Site,53%,47%,Yes,259
BAZHOU CITY NAIOU FURNITURE CO LTD,24.12909218,118.2161034,North Jinbao Road,14th Street,"Bazhou, Langfang ChinaCity GM",China,General Merchandise,Main production Site,57%,43%,Yes,89
"Thomas Far East Co., Ltd",24.55596975,118.5199011,Yifu Road,Nantou Town,Zhongshan,China,General Merchandise,Main production Site,49%,51%,Yes,913
Qingdao Dulin Wood factory,24.59724508,117.6791989,"Jiagezhuang,","Lancun Town,",Qingdao,China,General Merchandise,Main production Site,68%,32%,Yes,79
Dorcus Bike Corp,[blank],[blank],NO 1-17 SHANJIAO RD,"DA-TSUN HSIANG CHANG HUA,DACUN TOWNSHIPTaiwan",[blank],Taiwan,General Merchandise,Main production Site,44%,56%,No,80
