sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
Co. Ltd.,[blank],[blank],Xieshan,Nuohuo Industrial area,Yangjiang,China,General Merchandise,Main production Site,52%,48%,Yes,64
Stalwart Homestyles,[blank],[blank],PLOT 11 – 12,INFOCITY PH II,GURGAON,India,General Merchandise,Main production Site,85%,15%,Yes,233
"TEAMWIN ARTS & CRAFTS CO., LTD",[blank],[blank],Kangzhuang Road,"Westen industrial district Huanyan,Taizhou ChinaCity GM",[blank],China,General Merchandise,Main production Site,34%,66%,Yes,172
"Tailin Houseware Products Co., Ltd",[blank],[blank],Gongfa Industrial Park Heshan TownYangdong CountyYangjiang,[blank],[blank],China,General Merchandise,Main production Site,54%,46%,Yes,41
(Yixianyuan Factory),[blank],[blank],"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Nanfang Brothers Ind Co Ltd of Yangjiang No.1-5 Nanfang IndustrialMayan Road,[blank],[blank],[blank],"Industrial Zone, Yangjiang China",[blank],China,General Merchandise,Main production Site,42%,58%,Yes,413
"Dongguan Taiway ShingKee Toys Co., Ltd",[blank],[blank],HUANG JIANG VILLAGE,HUANG JIANG TOWN,Dongguan,China,General Merchandise,Main production Site,40%,60%,Yes,1260
Universal Source Ltd.,[blank],[blank],Longhe Industrial Park Tianxin VillageHuangjiang TownDongguan,[blank],[blank],China,General Merchandise,Main production Site,66%,34%,Yes,467
Vietnam Housewares Corp Site 1 (Wood),[blank],[blank],Binh Phuoc B Commune,Binh Chuan Ward,Thuan An District Vietnam GM,Vietnam,General Merchandise,Main production Site,60%,40%,Yes,418
vidrios reciclados san miguel,[blank],[blank],Pol. Ind. els Serrans 46812 Aielo de Malferit,[blank],AIELO DE MALFERITSpain,Spain,General Merchandise,Main production Site,66%,34%,Yes,357
Wuxi Changfeng Tempered Glass Factory,[blank],[blank],Huangniba Village,Yuqi Town,Wuxi,China,General Merchandise,Main production Site,20%,80%,Yes,10
"Wuxi Dragon Balloon Co., Ltd.",[blank],[blank],No.9 Jing Fa No. 6 Road Shuo Fang New District,[blank],Wuxi,China,General Merchandise,Main production Site,30%,70%,Yes,66
Limited,[blank],[blank],"No. 19, Ji Feng Street No. Shipai4",Town,Dongguan,China,General Merchandise,Main production Site,53%,48%,Yes,80
Ltd,[blank],[blank],"No. 19, Ji Feng Street No. Shipai4",town,Dongguan,China,General Merchandise,Main production Site,53%,48%,Yes,80
William Goodacre & Sons India Pvt. Ltd,[blank],[blank],XVIII/1146 Revi karunakaranRoad PB no: 4606,[blank],Kerala,India,General Merchandise,Main production Site,89%,11%,Yes,185
Wua Han Toys Products Ltd.,[blank],[blank],Gaotang Industrial Park Yuancheng Area,[blank],Heyuan,China,General Merchandise,Main production Site,69%,31%,Yes,401
"Hardware Co., Ltd.",[blank],[blank],No.38,Yangda Road,Foshan,China,General Merchandise,Main production Site,54%,46%,Yes,1128
"Co.,Ltd.",[blank],[blank],No.11.Wusha,Shunpan RoadDaliang St,Foshan,China,General Merchandise,Main production Site,58%,42%,Yes,574
"Shanxi Xinda Technology Co., Ltd.",[blank],[blank],149 West,Taifeng Road,Wenxi,China,General Merchandise,Main production Site,42%,58%,Yes,414
"Holdings Co., Ltd - Site 2",[blank],[blank],Zhenghe SouthLeliu TownShunde District,[blank],Foshan,China,General Merchandise,Main production Site,58%,42%,Yes,15023
Xiamen Luona Industry & Trade Co Ltd.,[blank],[blank],No.50 Jiyin Road,Chengnan Industrial Park,Xiamen,China,General Merchandise,Main production Site,61%,39%,Yes,157
SHANDONG YINFUNG HOMETEXTILE CO. LTD,[blank],[blank],NO 35 JiuFa Road,development Zone,Shandong,China,General Merchandise,Main production Site,34%,66%,Yes,221
"YANGJIANG SENWELL MANUFACTURING &TRADING CO., LTD",[blank],[blank],No.37,Yongxing 5th.RoadYangdong Yangjiang,[blank],China,General Merchandise,Main production Site,27%,73%,Yes,22
Yunus Textile Mills Ltd. - Unit 03,[blank],[blank],Plot 305,Main National Highway,Landhi,Pakistan,General Merchandise,Main production Site,92%,8%,Yes,970
Yantai Singrain Hometextiles Co. Ltd.,[blank],[blank],"West of East Road, NanbuhouChushan Road, Development ZoneYantai City China GM",[blank],[blank],China,General Merchandise,Main production Site,14%,86%,Yes,66
Yiyang Red Star Ceramics. Ltd.,[blank],[blank],300M,East To Yiyang Railway Station Luoyang City China,[blank],China,General Merchandise,Main production Site,34%,66%,Yes,630
Zhongshan Camry Electronic Company Ltd. Baishawan Industrial ParkQiwan Road,[blank],[blank],[blank],[blank],Zhongshan,China,General Merchandise,Main production Site,37%,63%,Yes,656
Manufacturing Ltd.,[blank],[blank],No.6 Jinwei Road,Jinhe Industrial Area,Dongguan,China,General Merchandise,Main production Site,44%,56%,Yes,294
"Zhongyin (Ningbo) Battery Co., Ltd.",[blank],[blank],128 Xingguang Road,Hi-Tech Part,Ningbo,China,General Merchandise,Main production Site,53%,47%,Yes,890
Designco Pvt. Ltd. Wood Unit,[blank],[blank],"Lodhipur Rajput,",Delhi Road,Moradabad,India,General Merchandise,Main production Site,100%,0%,Yes,910
MSJ,[blank],[blank],"No.3,Dongwaihuan",Green Building Material IndustJingmen City China,[blank],China,General Merchandise,Main production Site,59%,41%,Yes,158
"Linhai Deyi Plastic Co.,Ltd.",[blank],[blank],"No.17-1,Binhai First AveuneShangpan Town,Linhai City Linhai",[blank],[blank],China,General Merchandise,Main production Site,23%,77%,Yes,70
Danyang Lixin Tourism Articles Co Ltd,[blank],[blank],No 248 Changli West RoadHuangtang Town,[blank],Danyang City,China,General Merchandise,Main production Site,36%,64%,Yes,42
"Jiangsu Xinyiyuan Safety Technology Co., Ltd No.159, Keji Road Sanshui Street",[blank],[blank],"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Linyi Jingshi Ceramics Co. Ltd.,[blank],[blank],Middle of Luoliu Road Luozhuang Town,[blank],Linyi City,China,General Merchandise,Main production Site,35%,65%,Yes,236
Sumec Excellence Houseware Co Ltd,[blank],[blank],"No.1, Houjiang Road,","Chengqiao Town, Luhe",DistrictNanjing,China,General Merchandise,Main production Site,12%,88%,Yes,161
